2299917,Israel Israeli,0591830601,1
9182430,mishu mashu,0564549766,1
0003514,Israel Israeli,0541692132,1
4251788,Israel Israeli,0582029879,0
9575791,Israel Israeli,0595926676,1
9950318,Israel Israeli,0518117648,1
1505954,YUVAL EZRA,0545711589,0
5812048,YUVAL EZRA,0503221761,1
4780251,YUVAL EZRA,0549149361,0
8250950,YUVAL EZRA,0598578400,0
4028035,Tehila EZRA,0574901654,1
9517216,YUVAL EZRA,0592333635,1
0332633,YUVAL EZRA,0589756008,1
4945444,YUVAL EZRA,0580240629,0
4691544,YUVAL EZRA,0584451258,0
5499172,YUVAL EZRA,0509039045,0
5787877,YUVAL EZRA,0519522870,0
3747578,YUVAL EZRA,0545815658,1
5420969,YUVAL EZRA,0506458457,0
7166732,YUVAL EZRA,0597113232,0
9066995,YUVAL EZRA,0515661592,0
2135409,YUVAL EZRA,0519775802,1
0017829,YUVAL EZRA,0596650607,1
1084584,YUVAL EZRA,0556030056,1
4274715,YUVAL EZRA,0596309645,1
0663891,YUVAL EZRA,0595100350,0
5116916,YUVAL EZRA,0578228890,0
5018040,YUVAL EZRA,0577689949,0
3598031,YUVAL EZRA,0555996437,1
8509344,YUVAL EZRA,0590973240,0
4016790,Sister EZRA,0504110421,1
4038302,YUVAL EZRA,0504578503,0
0419617,YUVAL EZRA,0507780595,1
7130767,YUVAL EZRA,0507322478,0
7713570,YUVAL Cohen,0504867165,0
3411682,YUVAL EZRA,0531606216,0
2628026,YUVAL EZRA,0545256656,0
1234567,YUVAL EZRA,0502063744,1
7336996,YUVAL EZRA,0517693224,0
4629383,Omri Omers,0507414679,0
2255185,YUVAL EZRA,0599979322,0
2724675,YUVAL EZRA,0547655950,1
7428456,YUVAL EZRA,0577924245,1
9477845,YUVAL EZRA,0585528513,0
0520015,YUVAL EZRA,0572598856,1
5736445,YUVAL EZRA,0548971206,0
8939508,OFEC OFEC,0528377194,1
8416522,YUVAL EZRA,0583372263,0
7607057,YUVAL EZRA,0529092847,0
3132965,Israel Cohen,972549710233,0
